10 26 157 74 48 93 68 17 21 23 53
set([257, 226, 227, 232, 234, 268, 237, 273, 274, 277, 279, 282])
215 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
216 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
217 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
218 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
219 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
220 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
221 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
222 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
223 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
224 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
225 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
226 Y 4607 set([48, 53]) {68: 3, 74: 0, 157: 0, 48: 0, 17: 0, 53: 4502, 23: 90, 26: 0, 93: 0, 21: 12}
227 Y 16 set([157]) {68: 4, 74: 0, 157: 6, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
228 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
229 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
230 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
231 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
232 Y 22 set([21]) {68: 4, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 18}
233 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
234 Y 106 set([17]) {68: 16, 74: 0, 157: 0, 48: 0, 17: 84, 53: 0, 23: 0, 26: 0, 93: 0, 21: 6}
235 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
236 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
237 Y 12 set([68]) {68: 2, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 10}
238 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
239 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
240 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
241 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
242 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
243 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
244 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
245 N 0 set([]) {68: 0, 74: 0, 157: 0, 48: 0, 17: 0, 53: 0, 23: 0, 26: 0, 93: 0, 21: 0}
