9 103 25 135 81 18 23 9 173 4
set([194, 165, 168, 171, 176, 177, 178, 187, 188, 157, 159])
149 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
150 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
151 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
152 N 1002000 set([81, 103]) {4: 1000000, 103: 0, 9: 1248, 135: 75, 173: 0, 81: 71, 18: 606, 23: 0, 25: 0}
153 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
154 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
155 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
156 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
157 Y 3363 set([81]) {4: 1116, 103: 0, 9: 56, 135: 30, 173: 2100, 81: 47, 18: 14, 23: 0, 25: 0}
158 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
159 Y 3566 set([25]) {4: 2453, 103: 0, 9: 352, 135: 57, 173: 0, 81: 76, 18: 102, 23: 504, 25: 22}
160 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
161 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
162 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
163 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
164 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
165 Y 8153 set([9]) {4: 7671, 103: 0, 9: 392, 135: 0, 173: 0, 81: 0, 18: 90, 23: 0, 25: 0}
166 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
167 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
168 Y 3374 set([4]) {4: 2978, 103: 0, 9: 364, 135: 0, 173: 0, 81: 0, 18: 32, 23: 0, 25: 0}
169 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
170 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
171 Y 25737 set([9]) {4: 24311, 103: 0, 9: 992, 135: 0, 173: 0, 81: 0, 18: 242, 23: 192, 25: 0}
172 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
173 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
174 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
175 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
176 Y 3374 set([4]) {4: 2978, 103: 0, 9: 364, 135: 0, 173: 0, 81: 0, 18: 32, 23: 0, 25: 0}
177 Y 10044 set([173]) {4: 5545, 103: 0, 9: 400, 135: 39, 173: 4020, 81: 22, 18: 18, 23: 0, 25: 0}
178 Y 5071 set([18]) {4: 4515, 103: 0, 9: 224, 135: 30, 173: 0, 81: 135, 18: 167, 23: 0, 25: 0}
179 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
180 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
181 N 2071 set([]) {4: 1881, 103: 0, 9: 160, 135: 0, 173: 0, 81: 0, 18: 30, 23: 0, 25: 0}
182 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
183 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
184 N 1001606 set([135]) {4: 1000000, 103: 0, 9: 736, 135: 165, 173: 0, 81: 40, 18: 185, 23: 480, 25: 0}
185 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
186 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
187 Y 1310 set([4]) {4: 1216, 103: 0, 9: 56, 135: 0, 173: 0, 81: 0, 18: 38, 23: 0, 25: 0}
188 Y 2144 set([4]) {4: 1800, 103: 0, 9: 308, 135: 0, 173: 0, 81: 0, 18: 36, 23: 0, 25: 0}
189 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
190 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
191 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
192 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
193 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
194 Y 25118 set([23]) {4: 10993, 103: 0, 9: 288, 135: 48, 173: 13140, 81: 111, 18: 202, 23: 336, 25: 0}
195 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
196 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
197 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
198 N 0 set([]) {4: 0, 103: 0, 9: 0, 135: 0, 173: 0, 81: 0, 18: 0, 23: 0, 25: 0}
199 N 1983 set([]) {4: 1801, 103: 0, 9: 84, 135: 30, 173: 0, 81: 50, 18: 18, 23: 0, 25: 0}
200 N 7640 set([]) {4: 6518, 103: 0, 9: 504, 135: 72, 173: 0, 81: 58, 18: 488, 23: 0, 25: 0}
201 N 3120 set([]) {4: 2494, 103: 0, 9: 104, 135: 36, 173: 0, 81: 24, 18: 462, 23: 0, 25: 0}
202 N 10510 set([]) {4: 3131, 103: 0, 9: 256, 135: 36, 173: 6880, 81: 32, 18: 175, 23: 0, 25: 0}
203 N 14739 set([]) {4: 12375, 103: 0, 9: 140, 135: 72, 173: 1980, 81: 162, 18: 10, 23: 0, 25: 0}
204 N 1001331 set([]) {4: 1000000, 103: 0, 9: 416, 135: 63, 173: 0, 81: 53, 18: 183, 23: 616, 25: 0}
205 N 2809 set([]) {4: 2683, 103: 0, 9: 78, 135: 33, 173: 0, 81: 9, 18: 6, 23: 0, 25: 0}
206 N 5163 set([]) {4: 5062, 103: 0, 9: 56, 135: 0, 173: 0, 81: 0, 18: 45, 23: 0, 25: 0}
207 N 13147 set([]) {4: 12287, 103: 0, 9: 196, 135: 294, 173: 0, 81: 224, 18: 146, 23: 0, 25: 0}
208 Y 6640 set([9]) {4: 5044, 103: 0, 9: 448, 135: 39, 173: 1080, 81: 23, 18: 6, 23: 0, 25: 0}
209 Y 6461 set([135]) {4: 5556, 103: 0, 9: 256, 135: 228, 173: 0, 81: 196, 18: 225, 23: 0, 25: 0}
210 N 5982 set([]) {4: 4418, 103: 0, 9: 480, 135: 0, 173: 0, 81: 0, 18: 188, 23: 896, 25: 0}
211 N 1014564 set([]) {4: 14046, 103: 0, 9: 252, 135: 108, 173: 0, 81: 1000000, 18: 158, 23: 0, 25: 0}
